ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005783	endoplasmic reticulum	726	215	YAL042W,YAR028W,YAR033W,YBL020W,YBL082C,YBR004C,YBR005W,YBR041W,YBR042C,YBR054W,YBR070C,YBR096W,YBR106W,YBR110W,YBR126W-A,YBR159W,YBR162W-A,YBR171W,YBR196C-A,YBR207W,YBR283C,YBR287W,YBR293W,YBR296C,YCL001W,YCL005W,YCL069W,YCR017C,YCR021C,YCR068W,YCR094W,YDL072C,YDL121C,YDL122W,YDL206W,YDL212W,YDL232W,YDR018C,YDR033W,YDR182W,YDR205W,YDR233C,YDR307W,YDR319C,YDR329C,YDR410C,YDR411C,YDR414C,YDR434W,YDR437W,YDR504C,YEL016C,YEL031W,YEL036C,YER039C,YER044C,YER053C-A,YER072W,YER074W-A,YFR042W,YGL002W,YGL010W,YGL012W,YGL022W,YGL038C,YGL041C-B,YGL051W,YGL053W,YGL084C,YGL142C,YGL160W,YGL194C-A,YGL204C,YGL226C-A,YGR026W,YGR036C,YGR089W,YGR105W,YGR121C,YGR141W,YGR213C,YGR227W,YGR236C,YHL016C,YHL044W,YHR007C,YHR042W,YHR045W,YHR181W,YIL016W,YIL039W,YIL040W,YIL043C,YIL049W,YIL090W,YIL102C-A,YIR014W,YJL034W,YJL094C,YJL097W,YJL139C,YJL183W,YJL193W,YJR010C-A,YJR013W,YJR051W,YJR073C,YJR106W,YJR116W,YJR117W,YJR131W,YKL004W,YKL065C,YKL065W-A,YKL124W,YKL154W,YKL165C,YKL175W,YKL178C,YKL207W,YKR051W,YKR067W,YLL014W,YLL015W,YLL023C,YLL031C,YLL048C,YLR034C,YLR047C,YLR050C,YLR064W,YLR065C,YLR066W,YLR080W,YLR087C,YLR088W,YLR130C,YLR138W,YLR241W,YLR378C,YLR404W,YLR411W,YLR426W,YLR450W,YLR454W,YML055W,YML066C,YML067C,YML075C,YML101C,YML125C,YMR015C,YMR040W,YMR101C,YMR123W,YMR134W,YMR171C,YMR202W,YMR264W,YMR266W,YMR274C,YMR281W,YMR292W,YMR296C,YMR298W,YNL029C,YNL048W,YNL095C,YNL130C,YNL146W,YNL149C,YNL194C,YNL280C,YNL326C,YNR021W,YNR048W,YNR062C,YNR075W,YOL003C,YOL013C,YOL060C,YOL073C,YOL084W,YOL092W,YOL162W,YOR002W,YOR032W-A,YOR044W,YOR049C,YOR067C,YOR079C,YOR149C,YOR154W,YOR175C,YOR241W,YOR254C,YOR298W,YPL050C,YPL053C,YPL092W,YPL096C-A,YPL207W,YPL227C,YPL244C,YPL264C,YPR028W,YPR037C,YPR091C,YPR109W,YPR114W,YPR117W,YPR138C,YPR139C,YPR149W,YPR170W-B,	29.6	3.49	7.21	6.56080524098e-75	1.96824157229e-73	1.96824157229e-73
GO:0005773	vacuole	563	112	YAR028W,YBL089W,YBR040W,YBR041W,YBR074W,YBR147W,YBR161W,YBR199W,YBR207W,YBR241C,YBR293W,YCL001W,YCL005W-A,YCL069W,YCR028C,YCR068W,YCR075C,YDL054C,YDL123W,YDL128W,YDL180W,YDL206W,YDR003W,YDR105C,YDR135C,YDR284C,YDR319C,YDR352W,YDR387C,YDR438W,YDR452W,YDR481C,YDR525W-A,YDR536W,YEL017C-A,YEL027W,YER072W,YER119C,YER185W,YFL011W,YGL104C,YGL114W,YGL257C,YGR105W,YGR141W,YGR213C,YHL008C,YHL035C,YHR026W,YHR028C,YIL088C,YIL156W-B,YIL158W,YIR014W,YJL051W,YJL059W,YJL097W,YJL151C,YJL172W,YJR161C,YKL051W,YKL124W,YKL165C,YKL175W,YKL178C,YKL209C,YKL221W,YKR051W,YKR103W,YKR105C,YLL015W,YLL048C,YLR034C,YLR046C,YLR047C,YLR065C,YLR241W,YLR299W,YLR361C,YLR443W,YML018C,YML066C,YML104C,YMR063W,YMR088C,YMR171C,YMR221C,YMR243C,YMR266W,YNL217W,YNL279W,YNL326C,YNR061C,YOL019W,YOL060C,YOL084W,YOL092W,YOL129W,YOR049C,YOR079C,YOR104W,YOR246C,YOR316C,YOR320C,YPL053C,YPL057C,YPL156C,YPL162C,YPL234C,YPR026W,YPR037C,YPR170W-B,	19.9	2.35	3.16	1.5591150559e-19	2.33867258385e-18	4.67734516771e-18
GO:0005794	Golgi apparatus	320	67	YAL042W,YAR028W,YAR033W,YBR015C,YBR161W,YBR199W,YCL001W,YCR068W,YCR094W,YDL121C,YDL206W,YDL212W,YDR072C,YDR084C,YDR100W,YDR205W,YDR233C,YDR367W,YDR414C,YDR503C,YEL031W,YEL036C,YER001W,YER039C,YER074W-A,YER113C,YGL002W,YGL038C,YGL051W,YGL053W,YGL257C,YHL044W,YHR181W,YIL085C,YJL004C,YJL094C,YJL139C,YJL183W,YJL193W,YJR075W,YKL004W,YKL063C,YKL165C,YKL201C,YKL209C,YLR080W,YML038C,YML067C,YMR071C,YMR292W,YNL029C,YNL130C,YNL326C,YNR048W,YOL003C,YOL013C,YOL107W,YOR079C,YOR320C,YPL050C,YPL053C,YPL057C,YPL244C,YPL246C,YPR028W,YPR079W,YPR109W,	20.9	2.47	3.14	7.80430536395e-13	7.80430536395e-12	2.34129160919e-11
GO:0005886	plasma membrane	630	98	YAR028W,YAR033W,YBR005W,YBR041W,YBR054W,YBR207W,YBR241C,YBR296C,YCL058C,YCL069W,YCR017C,YCR021C,YCR024C-A,YCR028C,YCR075C,YCR094W,YDL072C,YDL222C,YDR033W,YDR090C,YDR276C,YDR387C,YDR414C,YDR503C,YDR536W,YEL017C-A,YEL031W,YER145C,YER185W,YFL011W,YGL051W,YGL053W,YGL084C,YGL104C,YGL114W,YGL160W,YGR026W,YGR121C,YGR131W,YGR213C,YGR221C,YHL008C,YHL016C,YHL044W,YHR007C,YHR028C,YHR042W,YIL043C,YIL088C,YIL147C,YKL051W,YKL065C,YKL178C,YKL187C,YKL209C,YKL221W,YKR100C,YKR105C,YLL005C,YLL053C,YLR020C,YLR034C,YLR046C,YLR047C,YLR087C,YLR130C,YLR138W,YLR241W,YLR299W,YLR411W,YLR443W,YLR454W,YML002W,YML052W,YML087C,YML125C,YMR034C,YMR040W,YMR063W,YMR243C,YMR266W,YNL128W,YNL142W,YNL194C,YNL279W,YNR048W,YOL019W,YOL084W,YOL152W,YOR030W,YOR049C,YOR104W,YOR316C,YPL092W,YPR117W,YPR138C,YPR149W,YPR201W,	15.6	1.83	2.23	4.19314458922e-10	3.14485844191e-09	1.25794337676e-08
GO:0005737	cytoplasm	4549	426	Q0045,Q0050,Q0055,Q0060,Q0065,Q0070,Q0075,Q0080,Q0085,Q0105,Q0110,Q0115,Q0120,Q0130,Q0250,Q0275,YAL008W,YAL042W,YAL055W,YAR028W,YAR033W,YBL020W,YBL039W-B,YBL057C,YBL082C,YBL089W,YBL095W,YBR004C,YBR005W,YBR015C,YBR040W,YBR041W,YBR042C,YBR054W,YBR070C,YBR074W,YBR085W,YBR090C,YBR096W,YBR106W,YBR110W,YBR126W-A,YBR147W,YBR159W,YBR161W,YBR162W-A,YBR171W,YBR196C-A,YBR199W,YBR207W,YBR241C,YBR262C,YBR283C,YBR287W,YBR293W,YBR296C,YCL001W,YCL005W,YCL005W-A,YCL057C-A,YCL058C,YCL069W,YCR017C,YCR021C,YCR028C,YCR068W,YCR075C,YCR094W,YDL054C,YDL067C,YDL072C,YDL119C,YDL121C,YDL122W,YDL123W,YDL128W,YDL174C,YDL180W,YDL206W,YDL212W,YDL222C,YDL232W,YDR003W,YDR018C,YDR033W,YDR072C,YDR079W,YDR084C,YDR100W,YDR105C,YDR119W-A,YDR135C,YDR182W,YDR204W,YDR205W,YDR233C,YDR284C,YDR307W,YDR319C,YDR322C-A,YDR329C,YDR352W,YDR367W,YDR371W,YDR381C-A,YDR387C,YDR410C,YDR411C,YDR414C,YDR434W,YDR437W,YDR438W,YDR452W,YDR453C,YDR481C,YDR503C,YDR504C,YDR513W,YDR525W-A,YDR536W,YEL016C,YEL017C-A,YEL027W,YEL031W,YEL036C,YER001W,YER014W,YER039C,YER044C,YER053C-A,YER072W,YER074W-A,YER084W,YER093C-A,YER113C,YER119C,YER182W,YER185W,YFL011W,YFL021W,YFL066C,YFL068W,YFR006W,YFR042W,YGL002W,YGL010W,YGL012W,YGL022W,YGL038C,YGL041C-B,YGL051W,YGL053W,YGL084C,YGL085W,YGL104C,YGL114W,YGL142C,YGL160W,YGL194C-A,YGL204C,YGL226C-A,YGL257C,YGR012W,YGR026W,YGR028W,YGR036C,YGR089W,YGR105W,YGR121C,YGR141W,YGR168C,YGR174C,YGR183C,YGR213C,YGR227W,YGR231C,YGR236C,YGR257C,YHL008C,YHL016C,YHL035C,YHL044W,YHL050C,YHR001W-A,YHR007C,YHR009C,YHR026W,YHR028C,YHR042W,YHR045W,YHR117W,YHR181W,YIL016W,YIL039W,YIL040W,YIL043C,YIL049W,YIL085C,YIL088C,YIL090W,YIL102C-A,YIL156W-B,YIL158W,YIR014W,YIR024C,YJL003W,YJL004C,YJL034W,YJL038C,YJL051W,YJL054W,YJL059W,YJL062W-A,YJL094C,YJL097W,YJL127C-B,YJL139C,YJL143W,YJL151C,YJL161W,YJL172W,YJL183W,YJL193W,YJL205C,YJR010C-A,YJR013W,YJR044C,YJR051W,YJR073C,YJR075W,YJR085C,YJR106W,YJR116W,YJR117W,YJR131W,YJR139C,YJR161C,YKL004W,YKL027W,YKL028W,YKL037W,YKL044W,YKL051W,YKL063C,YKL065C,YKL065W-A,YKL120W,YKL124W,YKL150W,YKL154W,YKL165C,YKL175W,YKL178C,YKL187C,YKL201C,YKL207W,YKL209C,YKL221W,YKR016W,YKR051W,YKR066C,YKR067W,YKR103W,YKR105C,YLL014W,YLL015W,YLL023C,YLL031C,YLL048C,YLR034C,YLR046C,YLR047C,YLR050C,YLR064W,YLR065C,YLR066W,YLR080W,YLR087C,YLR088W,YLR130C,YLR138W,YLR151C,YLR176C,YLR241W,YLR251W,YLR253W,YLR265C,YLR299W,YLR361C,YLR378C,YLR404W,YLR411W,YLR426W,YLR443W,YLR448W,YLR450W,YLR454W,YLR456W,YML002W,YML007C-A,YML018C,YML028W,YML030W,YML031W,YML038C,YML052W,YML055W,YML066C,YML067C,YML073C,YML075C,YML081C-A,YML101C,YML104C,YML125C,YML129C,YMR015C,YMR019W,YMR040W,YMR063W,YMR071C,YMR088C,YMR101C,YMR123W,YMR134W,YMR150C,YMR171C,YMR202W,YMR221C,YMR243C,YMR256C,YMR264W,YMR266W,YMR274C,YMR281W,YMR292W,YMR296C,YMR298W,YNL029C,YNL048W,YNL070W,YNL095C,YNL128W,YNL130C,YNL146W,YNL149C,YNL194C,YNL214W,YNL217W,YNL279W,YNL280C,YNL326C,YNR018W,YNR021W,YNR040W,YNR048W,YNR061C,YNR062C,YNR075W,YOL003C,YOL013C,YOL019W,YOL026C,YOL060C,YOL073C,YOL084W,YOL092W,YOL107W,YOL129W,YOL162W,YOR002W,YOR020W-A,YOR032W-A,YOR037W,YOR044W,YOR045W,YOR049C,YOR065W,YOR067C,YOR079C,YOR104W,YOR149C,YOR154W,YOR175C,YOR222W,YOR241W,YOR246C,YOR254C,YOR298W,YOR316C,YOR320C,YPL050C,YPL053C,YPL057C,YPL072W,YPL092W,YPL096C-A,YPL098C,YPL134C,YPL156C,YPL162C,YPL189C-A,YPL207W,YPL227C,YPL234C,YPL244C,YPL246C,YPL264C,YPR010C-A,YPR026W,YPR028W,YPR037C,YPR079W,YPR091C,YPR098C,YPR109W,YPR114W,YPR117W,YPR133W-A,YPR138C,YPR139C,YPR140W,YPR149W,YPR159C-A,YPR170W-B,YPR204W,	9.4	1.1	1.78	2.03819443919e-06	1.22291666352e-05	6.11458331758e-05
GO:0005739	mitochondrion	1227	127	Q0045,Q0050,Q0055,Q0060,Q0065,Q0070,Q0075,Q0080,Q0085,Q0105,Q0110,Q0115,Q0120,Q0130,Q0250,Q0275,YAL008W,YBL057C,YBL095W,YBR004C,YBR054W,YBR085W,YBR106W,YBR147W,YBR262C,YCL005W,YCL057C-A,YDL067C,YDL119C,YDL174C,YDL222C,YDL232W,YDR033W,YDR079W,YDR119W-A,YDR204W,YDR233C,YDR322C-A,YDR381C-A,YDR438W,YDR513W,YEL031W,YER014W,YER093C-A,YER182W,YFL011W,YGL002W,YGL084C,YGL085W,YGL104C,YGR012W,YGR028W,YGR174C,YGR183C,YGR231C,YGR236C,YGR257C,YHL035C,YHR001W-A,YHR042W,YHR117W,YIL016W,YIL043C,YIL156W-B,YIR024C,YJL003W,YJL054W,YJL062W-A,YJL094C,YJL127C-B,YJL143W,YJL161W,YJR051W,YJR073C,YJR085C,YJR117W,YKL027W,YKL028W,YKL037W,YKL044W,YKL120W,YKL150W,YKL187C,YKR016W,YKR066C,YLR087C,YLR251W,YLR253W,YLR426W,YLR454W,YML007C-A,YML030W,YML052W,YML081C-A,YML129C,YMR019W,YMR150C,YMR221C,YMR243C,YMR256C,YMR264W,YNL070W,YNL130C,YNR018W,YNR040W,YOL026C,YOL129W,YOR020W-A,YOR037W,YOR045W,YOR065W,YOR222W,YOR241W,YOR246C,YOR254C,YOR316C,YPL072W,YPL098C,YPL134C,YPL189C-A,YPR037C,YPR091C,YPR098C,YPR117W,YPR133W-A,YPR140W,YPR149W,	10.4	1.22	1.33	0.0056184423471	0.0280922117355	0.168553270413
GO:0005635	nuclear envelope	174	24	YBR070C,YDR205W,YDR410C,YDR434W,YDR437W,YER072W,YGR026W,YHR195W,YIL016W,YIL040W,YJR117W,YKL021C,YLL023C,YLR064W,YLR265C,YLR450W,YML031W,YML075C,YMR134W,YMR298W,YNL149C,YNR075W,YOR254C,YPR091C,	13.8	1.63	1.76	0.0113613471043	0.0486914875897	0.340840413128
GO:0005811	lipid droplet	63	11	YBR041W,YBR042C,YCL005W,YDR525W-A,YKL140W,YKR067W,YLL012W,YMR101C,YMR148W,YOR246C,YPR139C,	17.5	2.06	2.31	0.0156826920115	0.0588100950432	0.470480760345
GO:0031410	cytoplasmic vesicle	330	39	YAL042W,YAR028W,YAR033W,YCL001W,YCR068W,YCR075C,YCR094W,YDL121C,YDR100W,YDR205W,YER039C,YER072W,YER074W-A,YER113C,YGL002W,YGL051W,YGR105W,YHR009C,YHR181W,YJL151C,YJR044C,YJR161C,YKL124W,YLR080W,YLR411W,YML002W,YML038C,YML067C,YMR071C,YMR171C,YMR292W,YNR075W,YOL013C,YOL107W,YOL129W,YOR079C,YPL246C,YPR079W,YPR109W,	11.8	1.39	1.48	0.0196081772962	0.0653605909873	0.588245318886
