ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005783	endoplasmic reticulum	401	91	UMAG_00007,UMAG_00119,UMAG_00202,UMAG_00302,UMAG_00454,UMAG_00476,UMAG_00481,UMAG_00542,UMAG_00757,UMAG_01084,UMAG_01231,UMAG_01407,UMAG_01424,UMAG_01565,UMAG_01789,UMAG_01934,UMAG_01942,UMAG_01980,UMAG_02224,UMAG_02396,UMAG_02398,UMAG_02487,UMAG_02729,UMAG_02731,UMAG_02833,UMAG_02999,UMAG_03355,UMAG_03576,UMAG_03662,UMAG_03841,UMAG_03958,UMAG_04015,UMAG_04031,UMAG_04117,UMAG_04189,UMAG_04441,UMAG_04496,UMAG_04720,UMAG_04896,UMAG_04923,UMAG_05069,UMAG_05074,UMAG_05209,UMAG_05293,UMAG_05446,UMAG_05554,UMAG_05664,UMAG_05742,UMAG_05800,UMAG_05898,UMAG_05936,UMAG_06059,UMAG_06175,UMAG_06205,UMAG_06295,UMAG_06426,UMAG_06459,UMAG_10017,UMAG_10062,UMAG_10178,UMAG_10195,UMAG_10259,UMAG_10265,UMAG_10320,UMAG_10423,UMAG_10494,UMAG_11014,UMAG_11228,UMAG_11267,UMAG_11272,UMAG_11278,UMAG_11347,UMAG_11386,UMAG_11418,UMAG_11456,UMAG_11488,UMAG_11523,UMAG_11541,UMAG_11624,UMAG_11771,UMAG_11795,UMAG_11819,UMAG_11963,UMAG_11987,UMAG_12038,UMAG_12090,UMAG_12166,UMAG_12231,UMAG_12294,UMAG_15002,UMAG_15029,	22.7	3.14	4.63	2.8252993426e-25	6.78071842223e-24	6.78071842223e-24
GO:0005575	cellular component	4574	370	UMAG_00007,UMAG_00017,UMAG_00031,UMAG_00050,UMAG_00083,UMAG_00096,UMAG_00098,UMAG_00119,UMAG_00171,UMAG_00192,UMAG_00193,UMAG_00202,UMAG_00221,UMAG_00262,UMAG_00302,UMAG_00362,UMAG_00371,UMAG_00372,UMAG_00406,UMAG_00450,UMAG_00454,UMAG_00476,UMAG_00481,UMAG_00508,UMAG_00510,UMAG_00530,UMAG_00535,UMAG_00536,UMAG_00542,UMAG_00547,UMAG_00616,UMAG_00738,UMAG_00757,UMAG_00824,UMAG_00829,UMAG_01084,UMAG_01105,UMAG_01114,UMAG_01138,UMAG_01150,UMAG_01231,UMAG_01258,UMAG_01311,UMAG_01359,UMAG_01373,UMAG_01379,UMAG_01387,UMAG_01407,UMAG_01424,UMAG_01429,UMAG_01442,UMAG_01464,UMAG_01476,UMAG_01565,UMAG_01619,UMAG_01653,UMAG_01656,UMAG_01683,UMAG_01737,UMAG_01756,UMAG_01758,UMAG_01782,UMAG_01789,UMAG_01805,UMAG_01808,UMAG_01860,UMAG_01863,UMAG_01920,UMAG_01934,UMAG_01936,UMAG_01942,UMAG_01980,UMAG_01982,UMAG_01983,UMAG_01994,UMAG_02016,UMAG_02037,UMAG_02050,UMAG_02063,UMAG_02132,UMAG_02146,UMAG_02147,UMAG_02203,UMAG_02218,UMAG_02219,UMAG_02224,UMAG_02232,UMAG_02234,UMAG_02282,UMAG_02285,UMAG_02325,UMAG_02374,UMAG_02383,UMAG_02384,UMAG_02395,UMAG_02396,UMAG_02398,UMAG_02487,UMAG_02496,UMAG_02504,UMAG_02625,UMAG_02629,UMAG_02686,UMAG_02701,UMAG_02707,UMAG_02729,UMAG_02731,UMAG_02744,UMAG_02770,UMAG_02820,UMAG_02833,UMAG_02993,UMAG_02999,UMAG_03002,UMAG_03010,UMAG_03028,UMAG_03082,UMAG_03128,UMAG_03132,UMAG_03139,UMAG_03156,UMAG_03283,UMAG_03355,UMAG_03384,UMAG_03475,UMAG_03513,UMAG_03560,UMAG_03576,UMAG_03597,UMAG_03657,UMAG_03662,UMAG_03694,UMAG_03760,UMAG_03775,UMAG_03841,UMAG_03857,UMAG_03861,UMAG_03884,UMAG_03945,UMAG_03958,UMAG_04015,UMAG_04031,UMAG_04097,UMAG_04117,UMAG_04125,UMAG_04133,UMAG_04189,UMAG_04292,UMAG_04297,UMAG_04319,UMAG_04353,UMAG_04385,UMAG_04423,UMAG_04441,UMAG_04451,UMAG_04457,UMAG_04488,UMAG_04496,UMAG_04538,UMAG_04577,UMAG_04627,UMAG_04637,UMAG_04695,UMAG_04720,UMAG_04743,UMAG_04744,UMAG_04750,UMAG_04771,UMAG_04800,UMAG_04805,UMAG_04856,UMAG_04896,UMAG_04923,UMAG_04988,UMAG_05023,UMAG_05033,UMAG_05034,UMAG_05061,UMAG_05069,UMAG_05074,UMAG_05102,UMAG_05122,UMAG_05153,UMAG_05167,UMAG_05192,UMAG_05209,UMAG_05226,UMAG_05267,UMAG_05271,UMAG_05291,UMAG_05293,UMAG_05331,UMAG_05347,UMAG_05349,UMAG_05411,UMAG_05435,UMAG_05446,UMAG_05473,UMAG_05527,UMAG_05554,UMAG_05558,UMAG_05560,UMAG_05570,UMAG_05589,UMAG_05595,UMAG_05602,UMAG_05664,UMAG_05684,UMAG_05688,UMAG_05729,UMAG_05739,UMAG_05742,UMAG_05764,UMAG_05783,UMAG_05786,UMAG_05787,UMAG_05791,UMAG_05794,UMAG_05800,UMAG_05825,UMAG_05870,UMAG_05889,UMAG_05897,UMAG_05898,UMAG_05936,UMAG_06014,UMAG_06032,UMAG_06059,UMAG_06060,UMAG_06076,UMAG_06135,UMAG_06148,UMAG_06168,UMAG_06175,UMAG_06200,UMAG_06205,UMAG_06212,UMAG_06253,UMAG_06268,UMAG_06287,UMAG_06295,UMAG_06393,UMAG_06416,UMAG_06426,UMAG_06459,UMAG_06480,UMAG_06485,UMAG_06490,UMAG_06504,UMAG_10003,UMAG_10004,UMAG_10006,UMAG_10012,UMAG_10017,UMAG_10018,UMAG_10031,UMAG_10046,UMAG_10062,UMAG_10178,UMAG_10195,UMAG_10233,UMAG_10244,UMAG_10259,UMAG_10262,UMAG_10265,UMAG_10274,UMAG_10280,UMAG_10320,UMAG_10365,UMAG_10374,UMAG_10380,UMAG_10412,UMAG_10413,UMAG_10423,UMAG_10451,UMAG_10488,UMAG_10494,UMAG_10528,UMAG_10568,UMAG_10574,UMAG_10582,UMAG_10606,UMAG_10607,UMAG_10628,UMAG_10755,UMAG_10787,UMAG_10814,UMAG_10868,UMAG_10939,UMAG_10964,UMAG_10989,UMAG_11014,UMAG_11021,UMAG_11026,UMAG_11063,UMAG_11096,UMAG_11097,UMAG_11112,UMAG_11120,UMAG_11169,UMAG_11172,UMAG_11180,UMAG_11206,UMAG_11212,UMAG_11228,UMAG_11244,UMAG_11245,UMAG_11248,UMAG_11254,UMAG_11267,UMAG_11272,UMAG_11278,UMAG_11347,UMAG_11349,UMAG_11386,UMAG_11398,UMAG_11406,UMAG_11407,UMAG_11418,UMAG_11454,UMAG_11456,UMAG_11467,UMAG_11488,UMAG_11500,UMAG_11506,UMAG_11516,UMAG_11523,UMAG_11541,UMAG_11558,UMAG_11614,UMAG_11624,UMAG_11651,UMAG_11731,UMAG_11732,UMAG_11771,UMAG_11774,UMAG_11795,UMAG_11802,UMAG_11819,UMAG_11890,UMAG_11925,UMAG_11963,UMAG_11984,UMAG_11987,UMAG_12023,UMAG_12032,UMAG_12038,UMAG_12083,UMAG_12090,UMAG_12096,UMAG_12114,UMAG_12147,UMAG_12166,UMAG_12172,UMAG_12198,UMAG_12200,UMAG_12206,UMAG_12219,UMAG_12231,UMAG_12234,UMAG_12249,UMAG_12263,UMAG_12294,UMAG_12341,UMAG_15002,UMAG_15024,UMAG_15029,UMAG_15030,UMAG_15032,UMAG_15074,	8.1	1.12	4.37	5.0843593292e-12	6.10123119504e-11	1.22024623901e-10
GO:0005886	plasma membrane	249	36	UMAG_00050,UMAG_00083,UMAG_00096,UMAG_00371,UMAG_01258,UMAG_01429,UMAG_01756,UMAG_01920,UMAG_01982,UMAG_02285,UMAG_02383,UMAG_02395,UMAG_02396,UMAG_02625,UMAG_02629,UMAG_03156,UMAG_03384,UMAG_03475,UMAG_03760,UMAG_03884,UMAG_04125,UMAG_04423,UMAG_04577,UMAG_05122,UMAG_05271,UMAG_05889,UMAG_06253,UMAG_10606,UMAG_11172,UMAG_11244,UMAG_11245,UMAG_11349,UMAG_11407,UMAG_11500,UMAG_11516,UMAG_12096,	14.5	2.0	2.29	3.57053558361e-05	0.000285642846689	0.000856928540066
GO:0005773	vacuole	162	26	UMAG_00450,UMAG_00508,UMAG_01758,UMAG_01805,UMAG_02686,UMAG_03861,UMAG_04457,UMAG_05435,UMAG_05595,UMAG_05684,UMAG_05742,UMAG_05794,UMAG_05825,UMAG_05897,UMAG_10195,UMAG_10280,UMAG_10365,UMAG_10528,UMAG_10574,UMAG_10814,UMAG_11418,UMAG_11500,UMAG_11802,UMAG_12096,UMAG_15032,UMAG_15074,	16.0	2.22	2.56	7.89608465637e-05	0.000473765079382	0.00189506031753
