ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005576	extracellular region	247	145	C1_00220W_A,C1_00680W_A,C1_02520W_A,C1_02630C_A,C1_02990C_A,C1_03190C_A,C1_03680W_A,C1_04050C_A,C1_04800C_A,C1_04870W_A,C1_05960W_A,C1_06260W_A,C1_07030C_A,C1_07040C_A,C1_07430W_A,C1_07580C_A,C1_07620C_A,C1_07900W_A,C1_08230C_A,C1_09080C_A,C1_09420W_A,C1_09580C_A,C1_09590C_A,C1_09600C_A,C1_09900W_A,C1_10040W_A,C1_10290W_A,C1_10400C_A,C1_10550C_A,C1_10810W_A,C1_13080W_A,C1_13450W_A,C1_13940W_A,C1_14120C_A,C1_14300C_A,C2_00100C_A,C2_00240C_A,C2_00520W_A,C2_00660C_A,C2_00680C_A,C2_01120W_A,C2_01380W_A,C2_01780W_A,C2_06880C_A,C2_08430C_A,C2_08590W_A,C2_08800C_A,C2_08870C_A,C2_09130C_A,C2_09530W_A,C2_10030C_A,C2_10630W_A,C3_00600W_A,C3_01550C_A,C3_01730C_A,C3_02510C_A,C3_03030C_A,C3_03050C_A,C3_03870C_A,C3_04180W_A,C3_05230W_A,C3_06320W_A,C3_06360C_A,C4_00120W_A,C4_00130W_A,C4_00450C_A,C4_00850C_A,C4_01000C_A,C4_01010C_A,C4_02250C_A,C4_02370C_A,C4_02390W_A,C4_02900C_A,C4_03100W_A,C4_03470C_A,C4_03510C_A,C4_03520C_A,C4_03570W_A,C4_04050C_A,C4_04070C_A,C4_04470W_A,C4_04530C_A,C4_06300C_A,C4_06310C_A,C4_06550C_A,C4_06560W_A,C4_06920C_A,C4_06980W_A,C5_00270W_A,C5_00710W_A,C5_00730W_A,C5_01570C_A,C5_02460C_A,C5_03610W_A,C5_04110W_A,C5_04130C_A,C5_04260W_A,C5_04400W_A,C5_04800W_A,C5_05390C_A,C6_00070C_A,C6_00160W_A,C6_00440C_A,C6_00820W_A,C6_01720C_A,C6_01990W_A,C6_02000W_A,C6_02710C_A,C6_03030W_A,C6_03490C_A,C6_03500C_A,C6_03690W_A,C6_03700W_A,C6_03710W_A,C6_03850C_A,C6_03860C_A,C6_04130C_A,C6_04380W_A,C6_04490W_A,C7_00090C_A,C7_00260C_A,C7_00860W_A,C7_02300W_A,C7_02830C_A,C7_02880C_A,C7_03250C_A,C7_03290C_A,C7_03300C_A,C7_03360W_A,C7_03860W_A,CR_00180C_A,CR_00610W_A,CR_00650W_A,CR_01280C_A,CR_03630W_A,CR_03790C_A,CR_03880W_A,CR_04420C_A,CR_04440C_A,CR_07070C_A,CR_07800W_A,CR_08510W_A,CR_09220C_A,CR_09690C_A,CR_10110W_A,	58.7	7.49	23.63	3.86501819002e-102	1.1208552751e-100	1.1208552751e-100
GO:0005618	cell wall	201	109	C1_00220W_A,C1_02360C_A,C1_02520W_A,C1_02630C_A,C1_02990C_A,C1_03190C_A,C1_03680W_A,C1_04870W_A,C1_05960W_A,C1_06260W_A,C1_07620C_A,C1_08230C_A,C1_09080C_A,C1_10290W_A,C1_11710C_A,C1_12510W_A,C1_13290W_A,C1_13450W_A,C1_13940W_A,C1_14120C_A,C2_00050C_A,C2_00100C_A,C2_00240C_A,C2_00520W_A,C2_00660C_A,C2_00680C_A,C2_04390W_A,C2_06550W_A,C2_08590W_A,C2_08870C_A,C2_09130C_A,C2_09530W_A,C2_10030C_A,C3_00600W_A,C3_01550C_A,C3_01730C_A,C3_02510C_A,C3_03050C_A,C3_03870C_A,C3_04180W_A,C3_04250W_A,C3_05230W_A,C3_06190C_A,C3_06320W_A,C4_00090W_A,C4_00120W_A,C4_00130W_A,C4_00450C_A,C4_00720W_A,C4_02250C_A,C4_02370C_A,C4_02390W_A,C4_02900C_A,C4_03470C_A,C4_03510C_A,C4_03520C_A,C4_03570W_A,C4_04050C_A,C4_04070C_A,C4_04470W_A,C4_04530C_A,C4_06300C_A,C4_06310C_A,C4_06550C_A,C4_06560W_A,C4_06920C_A,C4_06980W_A,C5_00270W_A,C5_00710W_A,C5_00730W_A,C5_01010W_A,C5_02460C_A,C5_04110W_A,C5_04130C_A,C5_04800W_A,C5_05390C_A,C6_00070C_A,C6_00160W_A,C6_00820W_A,C6_02710C_A,C6_03030W_A,C6_03490C_A,C6_03500C_A,C6_03690W_A,C6_03700W_A,C6_03710W_A,C6_03850C_A,C6_03860C_A,C6_04130C_A,C6_04380W_A,C7_00090C_A,C7_00190W_A,C7_00860W_A,C7_02300W_A,C7_03290C_A,CR_00180C_A,CR_00610W_A,CR_03630W_A,CR_03790C_A,CR_03880W_A,CR_04420C_A,CR_04440C_A,CR_04990C_A,CR_05190W_A,CR_05430W_A,CR_07070C_A,CR_07800W_A,CR_08510W_A,CR_10110W_A,	54.2	6.92	17.79	2.806246165e-70	4.06905693926e-69	8.13811387851e-69
GO:0030312	external encapsulating structure	255	111	C1_00220W_A,C1_02360C_A,C1_02520W_A,C1_02630C_A,C1_02990C_A,C1_03190C_A,C1_03680W_A,C1_04870W_A,C1_05960W_A,C1_06260W_A,C1_07620C_A,C1_08230C_A,C1_09080C_A,C1_10290W_A,C1_11710C_A,C1_12510W_A,C1_13290W_A,C1_13450W_A,C1_13940W_A,C1_14120C_A,C2_00050C_A,C2_00100C_A,C2_00240C_A,C2_00520W_A,C2_00660C_A,C2_00680C_A,C2_04390W_A,C2_06550W_A,C2_08590W_A,C2_08870C_A,C2_09130C_A,C2_09530W_A,C2_10030C_A,C3_00600W_A,C3_01550C_A,C3_01730C_A,C3_02510C_A,C3_03050C_A,C3_03870C_A,C3_04180W_A,C3_04250W_A,C3_05230W_A,C3_06190C_A,C3_06320W_A,C3_06360C_A,C4_00090W_A,C4_00120W_A,C4_00130W_A,C4_00450C_A,C4_00720W_A,C4_02250C_A,C4_02370C_A,C4_02390W_A,C4_02900C_A,C4_03470C_A,C4_03510C_A,C4_03520C_A,C4_03570W_A,C4_04050C_A,C4_04070C_A,C4_04470W_A,C4_04530C_A,C4_06300C_A,C4_06310C_A,C4_06550C_A,C4_06560W_A,C4_06920C_A,C4_06980W_A,C5_00270W_A,C5_00710W_A,C5_00730W_A,C5_01010W_A,C5_02460C_A,C5_04110W_A,C5_04130C_A,C5_04800W_A,C5_05390C_A,C6_00070C_A,C6_00160W_A,C6_00820W_A,C6_02710C_A,C6_03030W_A,C6_03490C_A,C6_03500C_A,C6_03690W_A,C6_03700W_A,C6_03710W_A,C6_03850C_A,C6_03860C_A,C6_04130C_A,C6_04380W_A,C7_00090C_A,C7_00190W_A,C7_00860W_A,C7_02300W_A,C7_03290C_A,CR_00180C_A,CR_00610W_A,CR_01650W_A,CR_03630W_A,CR_03790C_A,CR_03880W_A,CR_04420C_A,CR_04440C_A,CR_04990C_A,CR_05190W_A,CR_05430W_A,CR_07070C_A,CR_07800W_A,CR_08510W_A,CR_10110W_A,	43.5	5.56	11.53	1.53424288792e-58	1.48310145832e-57	4.44930437497e-57
GO:0005886	plasma membrane	646	108	C1_00220W_A,C1_02360C_A,C1_02630C_A,C1_02640C_A,C1_03190C_A,C1_05760C_A,C1_05960W_A,C1_08230C_A,C1_10290W_A,C1_10400C_A,C1_10830W_A,C1_11020W_A,C1_11170W_A,C1_12320C_A,C1_12510W_A,C1_13290W_A,C1_13450W_A,C2_00100C_A,C2_00520W_A,C2_00800C_A,C2_00910W_A,C2_01360C_A,C2_01380W_A,C2_01620W_A,C2_01780W_A,C2_03350W_A,C2_03440W_A,C2_03720W_A,C2_08430C_A,C2_09530W_A,C2_10010C_A,C3_00260C_A,C3_00570C_A,C3_00580W_A,C3_01370C_A,C3_01730C_A,C3_02300W_A,C3_03870C_A,C3_04250W_A,C3_05530W_A,C3_06250W_A,C3_06320W_A,C3_07160W_A,C4_00090W_A,C4_00120W_A,C4_00130W_A,C4_00410W_A,C4_00450C_A,C4_01000C_A,C4_01360W_A,C4_02900C_A,C4_03070W_A,C4_04050C_A,C4_04320W_A,C4_04470W_A,C4_04530C_A,C4_05770C_A,C4_05780C_A,C4_05840W_A,C4_05920C_A,C4_06260W_A,C4_06760W_A,C4_06970C_A,C5_00460C_A,C5_01360W_A,C5_01380W_A,C5_01570C_A,C5_02460C_A,C5_03050C_A,C5_03990W_A,C5_04370C_A,C5_05390C_A,C6_00440C_A,C6_00460C_A,C6_00470C_A,C6_00480C_A,C6_00740W_A,C6_00790C_A,C6_00990W_A,C6_01720C_A,C6_01990W_A,C6_02000W_A,C6_03060W_A,C6_03690W_A,C6_03700W_A,C6_03710W_A,C6_04130C_A,C6_04440C_A,C7_00090C_A,C7_00860W_A,C7_01710W_A,C7_03110W_A,CR_02280W_A,CR_02290W_A,CR_02750C_A,CR_03790C_A,CR_04900C_A,CR_06670W_A,CR_06870C_A,CR_07070C_A,CR_07100W_A,CR_07280W_A,CR_07300W_A,CR_07590W_A,CR_09690C_A,CR_10210W_A,CR_10330W_A,CR_10480W_A,	16.7	2.13	2.76	1.24149869028e-15	9.00086550453e-15	3.60034620181e-14
GO:0005615	extracellular space	20	16	C1_00680W_A,C1_04800C_A,C1_07030C_A,C1_07040C_A,C1_07580C_A,C1_10810W_A,C1_14120C_A,C2_00240C_A,C2_00660C_A,C2_00680C_A,C2_06880C_A,C3_03030C_A,C4_00850C_A,C7_00260C_A,C7_03860W_A,CR_00650W_A,	80.0	10.21	48.65	5.74713001796e-15	3.33333541042e-14	1.66666770521e-13
GO:0005783	endoplasmic reticulum	393	57	C1_00770C_A,C1_01610C_A,C1_03600W_A,C1_07460C_A,C1_08800W_A,C1_10040W_A,C1_10830W_A,C1_10940C_A,C1_11170W_A,C1_14360C_A,C2_01120W_A,C2_03070C_A,C2_05290C_A,C2_07940C_A,C2_08790W_A,C2_09390W_A,C2_09620W_A,C2_09780C_A,C2_10010C_A,C3_00900C_A,C3_00980W_A,C3_04350C_A,C3_05530W_A,C3_05550C_A,C3_06250W_A,C3_06360C_A,C4_00410W_A,C4_01120C_A,C4_02240C_A,C4_03130W_A,C4_04090C_A,C4_06100W_A,C5_00220W_A,C5_01410C_A,C5_01570C_A,C5_02320C_A,C5_03460C_A,C5_03990W_A,C5_05020C_A,C5_05040W_A,C6_00310W_A,C6_00740W_A,C6_00980C_A,C6_01460C_A,C6_02270C_A,C7_01720W_A,C7_03250C_A,CR_00690C_A,CR_00870C_A,CR_05130C_A,CR_07100W_A,CR_07180W_A,CR_07590W_A,CR_08350W_A,CR_08470W_A,CR_09690C_A,CR_10020C_A,	14.5	1.85	2.13	2.4598650653e-06	1.18893478156e-05	7.13360868937e-05
GO:0005773	vacuole	251	33	C1_03120W_A,C1_05670W_A,C1_05770C_A,C1_10430W_A,C1_14300C_A,C2_00460W_A,C2_03670W_A,C2_03680W_A,C2_04540C_A,C2_06880C_A,C2_07400C_A,C2_08800C_A,C2_09390W_A,C2_10470C_A,C3_06710W_A,C4_02550C_A,C4_03100W_A,C4_04090C_A,C5_00460C_A,C5_01450W_A,C5_01560C_A,C5_02320C_A,C5_03460C_A,C5_04260W_A,C5_04400W_A,C6_00460C_A,C6_00940C_A,C7_00260C_A,C7_03360W_A,C7_03860W_A,C7_04110W_A,CR_01280C_A,CR_08680C_A,	13.1	1.68	1.84	0.00202457820711	0.00838753828659	0.0587127680062
