ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005576	extracellular region	374	230	Afu1g00310,Afu1g01120,Afu1g01180,Afu1g01200,Afu1g01310,Afu1g01320,Afu1g01520,Afu1g01540,Afu1g02040,Afu1g03570,Afu1g03600,Afu1g04730,Afu1g05390,Afu1g06140,Afu1g06470,Afu1g06480,Afu1g08990,Afu1g11250,Afu1g11330,Afu1g11460,Afu1g11640,Afu1g12350,Afu1g12560,Afu1g14170,Afu1g14300,Afu1g14410,Afu1g15960,Afu1g16190,Afu1g16250,Afu1g16430,Afu1g16920,Afu1g17220,Afu1g17230,Afu1g17410,Afu2g00220,Afu2g00350,Afu2g00510,Afu2g00520,Afu2g00710,Afu2g00760,Afu2g00800,Afu2g00920,Afu2g01170,Afu2g01240,Afu2g03120,Afu2g03510,Afu2g03830,Afu2g03980,Afu2g04620,Afu2g05150,Afu2g05240,Afu2g05340,Afu2g06150,Afu2g07590,Afu2g08790,Afu2g09030,Afu2g09350,Afu2g09380,Afu2g09520,Afu2g12630,Afu2g12770,Afu2g13460,Afu2g14480,Afu2g14530,Afu2g14540,Afu2g14661,Afu2g15160,Afu2g15420,Afu2g15950,Afu2g16720,Afu2g17540,Afu2g17630,Afu2g18070,Afu3g00270,Afu3g00310,Afu3g00320,Afu3g00380,Afu3g00420,Afu3g00470,Afu3g00650,Afu3g00710,Afu3g00840,Afu3g01130,Afu3g01220,Afu3g01910,Afu3g02090,Afu3g02270,Afu3g02280,Afu3g02540,Afu3g02770,Afu3g02940,Afu3g02970,Afu3g03060,Afu3g03300,Afu3g03870,Afu3g04160,Afu3g07030,Afu3g07040,Afu3g07110,Afu3g07160,Afu3g07390,Afu3g07650,Afu3g08680,Afu3g08930,Afu3g09070,Afu3g09210,Afu3g09230,Afu3g10130,Afu3g11280,Afu3g11400,Afu3g13880,Afu3g14620,Afu3g14680,Afu3g14940,Afu4g00390,Afu4g00870,Afu4g01070,Afu4g02770,Afu4g03200,Afu4g03210,Afu4g03240,Afu4g03350,Afu4g03490,Afu4g03660,Afu4g03780,Afu4g03830,Afu4g04010,Afu4g04070,Afu4g04210,Afu4g06640,Afu4g07650,Afu4g07850,Afu4g09320,Afu4g09480,Afu4g09580,Afu4g10130,Afu4g10150,Afu4g11800,Afu4g11840,Afu4g13920,Afu4g14000,Afu4g14120,Afu5g00145,Afu5g00600,Afu5g01120,Afu5g01210,Afu5g01420,Afu5g01830,Afu5g02130,Afu5g02330,Afu5g03280,Afu5g03530,Afu5g03540,Afu5g03760,Afu5g03960,Afu5g07330,Afu5g09210,Afu5g10170,Afu5g10380,Afu5g10530,Afu5g10760,Afu5g13300,Afu5g13710,Afu5g13830,Afu5g14380,Afu6g00450,Afu6g00500,Afu6g01800,Afu6g03280,Afu6g04690,Afu6g05350,Afu6g06660,Afu6g06800,Afu6g07070,Afu6g08510,Afu6g09040,Afu6g09540,Afu6g09980,Afu6g10250,Afu6g10580,Afu6g11600,Afu6g11610,Afu6g11710,Afu6g11820,Afu6g12070,Afu6g12210,Afu6g12380,Afu6g12410,Afu6g13270,Afu6g13540,Afu6g13610,Afu6g14090,Afu6g14400,Afu6g14620,Afu7g00540,Afu7g00670,Afu7g01180,Afu7g01240,Afu7g01540,Afu7g01710,Afu7g02380,Afu7g05030,Afu7g05140,Afu7g05450,Afu7g06140,Afu7g06400,Afu8g00630,Afu8g00700,Afu8g00820,Afu8g00930,Afu8g01410,Afu8g01520,Afu8g01970,Afu8g02100,Afu8g02130,Afu8g02530,Afu8g02630,Afu8g05020,Afu8g05890,Afu8g05910,Afu8g06440,Afu8g06570,Afu8g06830,Afu8g06880,Afu8g07030,Afu8g07060,Afu8g07080,Afu8g07120,Afu8g07170,Afu8g07250,	61.5	5.46	15.62	6.2752925877e-128	1.81983485043e-126	1.81983485043e-126
GO:0005618	cell wall	209	93	Afu1g02040,Afu1g03570,Afu1g03600,Afu1g04130,Afu1g05270,Afu1g05770,Afu1g11460,Afu1g11640,Afu1g13670,Afu1g14170,Afu1g14450,Afu1g15440,Afu1g16190,Afu1g16250,Afu1g17250,Afu2g00710,Afu2g01170,Afu2g03120,Afu2g03510,Afu2g05240,Afu2g05340,Afu2g05635,Afu2g10100,Afu2g11270,Afu2g12630,Afu2g13460,Afu2g14610,Afu2g14661,Afu3g00270,Afu3g00380,Afu3g00910,Afu3g02270,Afu3g02280,Afu3g02970,Afu3g03040,Afu3g03880,Afu3g07030,Afu3g07050,Afu3g08380,Afu3g08930,Afu3g08990,Afu3g09690,Afu3g11400,Afu3g13200,Afu4g03240,Afu4g03490,Afu4g03970,Afu4g06820,Afu4g09580,Afu4g09600,Afu4g10130,Afu4g11150,Afu4g11510,Afu4g13670,Afu4g14000,Afu5g01990,Afu5g02040,Afu5g03280,Afu5g03540,Afu5g03760,Afu5g07890,Afu5g08030,Afu5g09020,Afu5g09210,Afu5g09580,Afu6g02800,Afu6g03230,Afu6g05350,Afu6g06660,Afu6g07855,Afu6g08390,Afu6g08510,Afu6g10580,Afu6g11390,Afu6g11960,Afu6g12070,Afu6g12380,Afu6g12410,Afu6g14090,Afu6g14470,Afu7g00370,Afu7g05340,Afu7g05450,Afu7g06140,Afu8g00630,Afu8g00700,Afu8g01710,Afu8g02130,Afu8g05020,Afu8g05320,Afu8g05410,Afu8g05890,Afu8g07060,	44.5	3.95	6.8	7.40130262452e-35	1.07318888056e-33	2.14637776111e-33
GO:0030312	external encapsulating structure	249	95	Afu1g02040,Afu1g03570,Afu1g03600,Afu1g04130,Afu1g05270,Afu1g05770,Afu1g11460,Afu1g11640,Afu1g13670,Afu1g14170,Afu1g14450,Afu1g15440,Afu1g16190,Afu1g16250,Afu1g17250,Afu2g00710,Afu2g01170,Afu2g03120,Afu2g03510,Afu2g05240,Afu2g05340,Afu2g05635,Afu2g10100,Afu2g10280,Afu2g11270,Afu2g12630,Afu2g13460,Afu2g14610,Afu2g14661,Afu3g00270,Afu3g00380,Afu3g00910,Afu3g02270,Afu3g02280,Afu3g02970,Afu3g03040,Afu3g03880,Afu3g07030,Afu3g07050,Afu3g08380,Afu3g08930,Afu3g08990,Afu3g09690,Afu3g11400,Afu3g13200,Afu4g03240,Afu4g03490,Afu4g03970,Afu4g06820,Afu4g07650,Afu4g09580,Afu4g09600,Afu4g10130,Afu4g11150,Afu4g11510,Afu4g13670,Afu4g14000,Afu5g01990,Afu5g02040,Afu5g03280,Afu5g03540,Afu5g03760,Afu5g07890,Afu5g08030,Afu5g09020,Afu5g09210,Afu5g09580,Afu6g02800,Afu6g03230,Afu6g05350,Afu6g06660,Afu6g07855,Afu6g08390,Afu6g08510,Afu6g10580,Afu6g11390,Afu6g11960,Afu6g12070,Afu6g12380,Afu6g12410,Afu6g14090,Afu6g14470,Afu7g00370,Afu7g05340,Afu7g05450,Afu7g06140,Afu8g00630,Afu8g00700,Afu8g01710,Afu8g02130,Afu8g05020,Afu8g05320,Afu8g05410,Afu8g05890,Afu8g07060,	38.2	3.39	5.22	3.96239227159e-29	3.8303125292e-28	1.14909375876e-27
GO:0005615	extracellular space	26	22	Afu1g01310,Afu1g02040,Afu1g11640,Afu1g12350,Afu1g14300,Afu2g08790,Afu3g08930,Afu3g09070,Afu3g09230,Afu3g13880,Afu4g03490,Afu4g04010,Afu4g06640,Afu4g11800,Afu4g14000,Afu5g09210,Afu5g13710,Afu6g10250,Afu7g01180,Afu8g02100,Afu8g02530,Afu8g07080,	84.6	7.51	44.19	1.08733129972e-17	7.88315192294e-17	3.15326076918e-16
GO:0005783	endoplasmic reticulum	337	61	Afu1g01720,Afu1g02560,Afu1g05470,Afu1g06200,Afu1g06890,Afu1g11140,Afu1g11470,Afu1g15050,Afu1g15130,Afu2g00690,Afu2g02240,Afu2g02360,Afu2g03370,Afu2g03870,Afu2g04620,Afu2g05790,Afu2g05860,Afu2g06150,Afu2g06280,Afu2g08300,Afu2g08380,Afu2g10590,Afu2g10900,Afu2g12180,Afu2g15080,Afu2g16120,Afu2g16800,Afu2g17400,Afu3g05400,Afu3g09860,Afu3g10490,Afu4g03970,Afu4g06340,Afu4g07390,Afu4g07650,Afu4g08200,Afu4g08660,Afu4g11150,Afu4g12850,Afu4g13190,Afu4g13340,Afu4g13400,Afu5g03260,Afu5g04280,Afu5g06050,Afu5g06480,Afu5g08970,Afu5g09270,Afu5g12260,Afu5g12550,Afu6g04210,Afu6g06610,Afu6g09020,Afu6g12360,Afu7g01300,Afu7g04110,Afu7g04230,Afu7g04690,Afu8g00570,Afu8g00630,Afu8g04530,	18.1	1.61	1.78	0.000104848282091	0.000608120036127	0.00304060018063
GO:0005575	cellular component	9713	1101	Afu1g00310,Afu1g00420,Afu1g00550,Afu1g00580,Afu1g00650,Afu1g00800,Afu1g00810,Afu1g00910,Afu1g00980,Afu1g01020,Afu1g01120,Afu1g01180,Afu1g01200,Afu1g01210,Afu1g01230,Afu1g01300,Afu1g01310,Afu1g01320,Afu1g01330,Afu1g01520,Afu1g01540,Afu1g01720,Afu1g01730,Afu1g01980,Afu1g02000,Afu1g02040,Afu1g02530,Afu1g02560,Afu1g02780,Afu1g02970,Afu1g03040,Afu1g03352,Afu1g03360,Afu1g03440,Afu1g03540,Afu1g03570,Afu1g03600,Afu1g03630,Afu1g03640,Afu1g03790,Afu1g04130,Afu1g04290,Afu1g04340,Afu1g04430,Afu1g04730,Afu1g05270,Afu1g05290,Afu1g05320,Afu1g05370,Afu1g05390,Afu1g05470,Afu1g05550,Afu1g05670,Afu1g05680,Afu1g05730,Afu1g05770,Afu1g05790,Afu1g06130,Afu1g06140,Afu1g06180,Afu1g06200,Afu1g06450,Afu1g06470,Afu1g06480,Afu1g06590,Afu1g06890,Afu1g06930,Afu1g06950,Afu1g07070,Afu1g07370,Afu1g07500,Afu1g07730,Afu1g08870,Afu1g08940,Afu1g08990,Afu1g09150,Afu1g09360,Afu1g09420,Afu1g09510,Afu1g09530,Afu1g09590,Afu1g09650,Afu1g09760,Afu1g10590,Afu1g10640,Afu1g10790,Afu1g11000,Afu1g11050,Afu1g11140,Afu1g11220,Afu1g11250,Afu1g11260,Afu1g11270,Afu1g11330,Afu1g11370,Afu1g11400,Afu1g11460,Afu1g11470,Afu1g11490,Afu1g11510,Afu1g11570,Afu1g11640,Afu1g12080,Afu1g12350,Afu1g12510,Afu1g12560,Afu1g12630,Afu1g13220,Afu1g13620,Afu1g13670,Afu1g13680,Afu1g13760,Afu1g13920,Afu1g13940,Afu1g13950,Afu1g14000,Afu1g14170,Afu1g14230,Afu1g14300,Afu1g14310,Afu1g14350,Afu1g14410,Afu1g14450,Afu1g14500,Afu1g14560,Afu1g14630,Afu1g14690,Afu1g15050,Afu1g15130,Afu1g15180,Afu1g15250,Afu1g15420,Afu1g15440,Afu1g15500,Afu1g15520,Afu1g15570,Afu1g15630,Afu1g15670,Afu1g15700,Afu1g15960,Afu1g16190,Afu1g16250,Afu1g16300,Afu1g16420,Afu1g16430,Afu1g16540,Afu1g16700,Afu1g16910,Afu1g16920,Afu1g17220,Afu1g17230,Afu1g17250,Afu1g17260,Afu1g17270,Afu1g17290,Afu1g17320,Afu1g17390,Afu1g17400,Afu1g17410,Afu1g17540,Afu1g17560,Afu1g17590,Afu1g17650,Afu1g17723,Afu2g00190,Afu2g00220,Afu2g00270,Afu2g00350,Afu2g00390,Afu2g00400,Afu2g00410,Afu2g00440,Afu2g00500,Afu2g00510,Afu2g00520,Afu2g00630,Afu2g00660,Afu2g00670,Afu2g00680,Afu2g00690,Afu2g00710,Afu2g00740,Afu2g00760,Afu2g00770,Afu2g00800,Afu2g00810,Afu2g00820,Afu2g00920,Afu2g01140,Afu2g01150,Afu2g01170,Afu2g01180,Afu2g01240,Afu2g01250,Afu2g01450,Afu2g01600,Afu2g01610,Afu2g01710,Afu2g01760,Afu2g01770,Afu2g01940,Afu2g02240,Afu2g02360,Afu2g02440,Afu2g02460,Afu2g02470,Afu2g02650,Afu2g02700,Afu2g02720,Afu2g02760,Afu2g03010,Afu2g03120,Afu2g03140,Afu2g03190,Afu2g03230,Afu2g03270,Afu2g03370,Afu2g03420,Afu2g03510,Afu2g03730,Afu2g03830,Afu2g03870,Afu2g03890,Afu2g03980,Afu2g04430,Afu2g04480,Afu2g04500,Afu2g04530,Afu2g04533,Afu2g04535,Afu2g04550,Afu2g04570,Afu2g04620,Afu2g05150,Afu2g05240,Afu2g05290,Afu2g05340,Afu2g05635,Afu2g05750,Afu2g05790,Afu2g05860,Afu2g05920,Afu2g05940,Afu2g05980,Afu2g06100,Afu2g06150,Afu2g06280,Afu2g07500,Afu2g07590,Afu2g07800,Afu2g08280,Afu2g08300,Afu2g08380,Afu2g08750,Afu2g08790,Afu2g09030,Afu2g09180,Afu2g09350,Afu2g09380,Afu2g09410,Afu2g09520,Afu2g09540,Afu2g09640,Afu2g09820,Afu2g10100,Afu2g10130,Afu2g10280,Afu2g10540,Afu2g10590,Afu2g10760,Afu2g10870,Afu2g10900,Afu2g11130,Afu2g11270,Afu2g11360,Afu2g11630,Afu2g12000,Afu2g12180,Afu2g12230,Afu2g12390,Afu2g12630,Afu2g12680,Afu2g12770,Afu2g12790,Afu2g12800,Afu2g12850,Afu2g13030,Afu2g13190,Afu2g13390,Afu2g13400,Afu2g13460,Afu2g13615,Afu2g13800,Afu2g14360,Afu2g14420,Afu2g14460,Afu2g14480,Afu2g14490,Afu2g14520,Afu2g14530,Afu2g14540,Afu2g14547,Afu2g14610,Afu2g14630,Afu2g14650,Afu2g14661,Afu2g14750,Afu2g14780,Afu2g15080,Afu2g15120,Afu2g15130,Afu2g15160,Afu2g15330,Afu2g15420,Afu2g15450,Afu2g15670,Afu2g15840,Afu2g15950,Afu2g16120,Afu2g16180,Afu2g16390,Afu2g16720,Afu2g16800,Afu2g17250,Afu2g17290,Afu2g17320,Afu2g17330,Afu2g17400,Afu2g17475,Afu2g17530,Afu2g17540,Afu2g17620,Afu2g17630,Afu2g17650,Afu2g17720,Afu2g17910,Afu2g17920,Afu2g17980,Afu2g18050,Afu2g18070,Afu3g00170,Afu3g00175,Afu3g00250,Afu3g00270,Afu3g00310,Afu3g00320,Afu3g00340,Afu3g00380,Afu3g00420,Afu3g00470,Afu3g00510,Afu3g00550,Afu3g00610,Afu3g00650,Afu3g00700,Afu3g00710,Afu3g00740,Afu3g00820,Afu3g00840,Afu3g00880,Afu3g00900,Afu3g00910,Afu3g01002,Afu3g01070,Afu3g01130,Afu3g01150,Afu3g01190,Afu3g01220,Afu3g01290,Afu3g01460,Afu3g01470,Afu3g01600,Afu3g01650,Afu3g01660,Afu3g01800,Afu3g01900,Afu3g01910,Afu3g02090,Afu3g02190,Afu3g02200,Afu3g02260,Afu3g02270,Afu3g02280,Afu3g02460,Afu3g02540,Afu3g02710,Afu3g02770,Afu3g02790,Afu3g02880,Afu3g02930,Afu3g02940,Afu3g02970,Afu3g03040,Afu3g03060,Afu3g03080,Afu3g03130,Afu3g03180,Afu3g03270,Afu3g03300,Afu3g03370,Afu3g03390,Afu3g03445,Afu3g03540,Afu3g03600,Afu3g03720,Afu3g03870,Afu3g03880,Afu3g03930,Afu3g03950,Afu3g03960,Afu3g03990,Afu3g04050,Afu3g04160,Afu3g04180,Afu3g05400,Afu3g05460,Afu3g05810,Afu3g06120,Afu3g06200,Afu3g06410,Afu3g07030,Afu3g07040,Afu3g07050,Afu3g07070,Afu3g07080,Afu3g07110,Afu3g07155,Afu3g07160,Afu3g07210,Afu3g07310,Afu3g07390,Afu3g07400,Afu3g07410,Afu3g07530,Afu3g07580,Afu3g07625,Afu3g07650,Afu3g07660,Afu3g08050,Afu3g08060,Afu3g08070,Afu3g08110,Afu3g08220,Afu3g08300,Afu3g08380,Afu3g08480,Afu3g08680,Afu3g08870,Afu3g08930,Afu3g08990,Afu3g09070,Afu3g09080,Afu3g09140,Afu3g09160,Afu3g09210,Afu3g09230,Afu3g09250,Afu3g09270,Afu3g09330,Afu3g09690,Afu3g09860,Afu3g10085,Afu3g10130,Afu3g10175,Afu3g10190,Afu3g10330,Afu3g10370,Afu3g10480,Afu3g10490,Afu3g10910,Afu3g10960,Afu3g11190,Afu3g11280,Afu3g11370,Afu3g11400,Afu3g11530,Afu3g12010,Afu3g12170,Afu3g12210,Afu3g12255,Afu3g12340,Afu3g12360,Afu3g12720,Afu3g12770,Afu3g12920,Afu3g12982,Afu3g13010,Afu3g13110,Afu3g13170,Afu3g13200,Afu3g13520,Afu3g13640,Afu3g13650,Afu3g13755,Afu3g13880,Afu3g14030,Afu3g14060,Afu3g14200,Afu3g14210,Afu3g14500,Afu3g14510,Afu3g14570,Afu3g14610,Afu3g14620,Afu3g14630,Afu3g14665,Afu3g14680,Afu3g14770,Afu3g14890,Afu3g14910,Afu3g14940,Afu3g15090,Afu3g15210,Afu3g15350,Afu4g00390,Afu4g00420,Afu4g00460,Afu4g00490,Afu4g00500,Afu4g00580,Afu4g00620,Afu4g00670,Afu4g00750,Afu4g00870,Afu4g01030,Afu4g01070,Afu4g01120,Afu4g01180,Afu4g01200,Afu4g01270,Afu4g01290,Afu4g01340,Afu4g02710,Afu4g02770,Afu4g02780,Afu4g02800,Afu4g03090,Afu4g03200,Afu4g03210,Afu4g03230,Afu4g03240,Afu4g03290,Afu4g03350,Afu4g03360,Afu4g03435,Afu4g03440,Afu4g03470,Afu4g03490,Afu4g03500,Afu4g03585,Afu4g03660,Afu4g03780,Afu4g03790,Afu4g03820,Afu4g03830,Afu4g03970,Afu4g04010,Afu4g04070,Afu4g04210,Afu4g04310,Afu4g04415,Afu4g04430,Afu4g04620,Afu4g04690,Afu4g04720,Afu4g05850,Afu4g05860,Afu4g06060,Afu4g06340,Afu4g06370,Afu4g06590,Afu4g06640,Afu4g06670,Afu4g06700,Afu4g06770,Afu4g06820,Afu4g06920,Afu4g07040,Afu4g07210,Afu4g07270,Afu4g07300,Afu4g07390,Afu4g07650,Afu4g07850,Afu4g07960,Afu4g08200,Afu4g08270,Afu4g08280,Afu4g08310,Afu4g08370,Afu4g08390,Afu4g08450,Afu4g08480,Afu4g08660,Afu4g08720,Afu4g08960,Afu4g09280,Afu4g09320,Afu4g09340,Afu4g09400,Afu4g09450,Afu4g09480,Afu4g09560,Afu4g09580,Afu4g09600,Afu4g09940,Afu4g10130,Afu4g10150,Afu4g10440,Afu4g10500,Afu4g10560,Afu4g10810,Afu4g11150,Afu4g11190,Afu4g11230,Afu4g11250,Afu4g11510,Afu4g11520,Afu4g11800,Afu4g11840,Afu4g12240,Afu4g12370,Afu4g12380,Afu4g12510,Afu4g12850,Afu4g12970,Afu4g13190,Afu4g13340,Afu4g13400,Afu4g13670,Afu4g13710,Afu4g13750,Afu4g13800,Afu4g13860,Afu4g13920,Afu4g13960,Afu4g13990,Afu4g14000,Afu4g14120,Afu4g14170,Afu4g14175,Afu4g14180,Afu4g14240,Afu4g14350,Afu4g14420,Afu4g14490,Afu4g14690,Afu4g14700,Afu4g14790,Afu4g14800,Afu4g14830,Afu5g00120,Afu5g00145,Afu5g00170,Afu5g00480,Afu5g00530,Afu5g00540,Afu5g00550,Afu5g00600,Afu5g00610,Afu5g00630,Afu5g00700,Afu5g00800,Afu5g00840,Afu5g00910,Afu5g01120,Afu5g01170,Afu5g01190,Afu5g01200,Afu5g01210,Afu5g01250,Afu5g01330,Afu5g01420,Afu5g01490,Afu5g01600,Afu5g01620,Afu5g01710,Afu5g01830,Afu5g01880,Afu5g01920,Afu5g01990,Afu5g02040,Afu5g02130,Afu5g02330,Afu5g02390,Afu5g02460,Afu5g02740,Afu5g02820,Afu5g02950,Afu5g03100,Afu5g03260,Afu5g03280,Afu5g03410,Afu5g03500,Afu5g03530,Afu5g03540,Afu5g03760,Afu5g03790,Afu5g03940,Afu5g03960,Afu5g03980,Afu5g04040,Afu5g04050,Afu5g04210,Afu5g04230,Afu5g04280,Afu5g05840,Afu5g06050,Afu5g06270,Afu5g06480,Afu5g06780,Afu5g06840,Afu5g06860,Afu5g07070,Afu5g07080,Afu5g07200,Afu5g07330,Afu5g07450,Afu5g07480,Afu5g07650,Afu5g07690,Afu5g07720,Afu5g07730,Afu5g07800,Afu5g07890,Afu5g07902,Afu5g08030,Afu5g08150,Afu5g08180,Afu5g08580,Afu5g08800,Afu5g08890,Afu5g08970,Afu5g09020,Afu5g09210,Afu5g09270,Afu5g09580,Afu5g09720,Afu5g09860,Afu5g09960,Afu5g10010,Afu5g10170,Afu5g10240,Afu5g10350,Afu5g10380,Afu5g10400,Afu5g10510,Afu5g10530,Afu5g10760,Afu5g10940,Afu5g11040,Afu5g11210,Afu5g11500,Afu5g11540,Afu5g11680,Afu5g12030,Afu5g12140,Afu5g12260,Afu5g12340,Afu5g12390,Afu5g12410,Afu5g12490,Afu5g12550,Afu5g13180,Afu5g13300,Afu5g13580,Afu5g13710,Afu5g13730,Afu5g13780,Afu5g13830,Afu5g13995,Afu5g14000,Afu5g14030,Afu5g14090,Afu5g14130,Afu5g14150,Afu5g14190,Afu5g14240,Afu5g14380,Afu5g14410,Afu5g14420,Afu5g14490,Afu5g14510,Afu5g14560,Afu5g14610,Afu6g00160,Afu6g00196,Afu6g00250,Afu6g00270,Afu6g00310,Afu6g00430,Afu6g00450,Afu6g00500,Afu6g00550,Afu6g00570,Afu6g00590,Afu6g00610,Afu6g00660,Afu6g00670,Afu6g00690,Afu6g00770,Afu6g01800,Afu6g01810,Afu6g02160,Afu6g02580,Afu6g02600,Afu6g02705,Afu6g02770,Afu6g02800,Afu6g02860,Afu6g02980,Afu6g03070,Afu6g03150,Afu6g03230,Afu6g03280,Afu6g03360,Afu6g03440,Afu6g03510,Afu6g03560,Afu6g03620,Afu6g03630,Afu6g03750,Afu6g03930,Afu6g04210,Afu6g04450,Afu6g04690,Afu6g05110,Afu6g05350,Afu6g06360,Afu6g06460,Afu6g06510,Afu6g06610,Afu6g06660,Afu6g06690,Afu6g06700,Afu6g06800,Afu6g07070,Afu6g07190,Afu6g07200,Afu6g07280,Afu6g07340,Afu6g07480,Afu6g07855,Afu6g08250,Afu6g08390,Afu6g08440,Afu6g08510,Afu6g08630,Afu6g08700,Afu6g08710,Afu6g08810,Afu6g08920,Afu6g09020,Afu6g09040,Afu6g09080,Afu6g09170,Afu6g09317,Afu6g09540,Afu6g09560,Afu6g09570,Afu6g09790,Afu6g09865,Afu6g09910,Afu6g09980,Afu6g10040,Afu6g10130,Afu6g10200,Afu6g10250,Afu6g10430,Afu6g10450,Afu6g10520,Afu6g10580,Afu6g10930,Afu6g11330,Afu6g11380,Afu6g11390,Afu6g11600,Afu6g11610,Afu6g11630,Afu6g11670,Afu6g11710,Afu6g11720,Afu6g11820,Afu6g11960,Afu6g11970,Afu6g12070,Afu6g12120,Afu6g12140,Afu6g12190,Afu6g12210,Afu6g12230,Afu6g12240,Afu6g12360,Afu6g12380,Afu6g12410,Afu6g12620,Afu6g12630,Afu6g12650,Afu6g12730,Afu6g13230,Afu6g13270,Afu6g13370,Afu6g13430,Afu6g13540,Afu6g13610,Afu6g13710,Afu6g13720,Afu6g13760,Afu6g13970,Afu6g14010,Afu6g14020,Afu6g14060,Afu6g14070,Afu6g14090,Afu6g14250,Afu6g14360,Afu6g14390,Afu6g14400,Afu6g14410,Afu6g14420,Afu6g14470,Afu6g14510,Afu6g14540,Afu6g14570,Afu6g14620,Afu7g00150,Afu7g00270,Afu7g00310,Afu7g00320,Afu7g00350,Afu7g00370,Afu7g00450,Afu7g00540,Afu7g00580,Afu7g00670,Afu7g00720,Afu7g00800,Afu7g00900,Afu7g00940,Afu7g00970,Afu7g01020,Afu7g01060,Afu7g01118,Afu7g01170,Afu7g01180,Afu7g01200,Afu7g01240,Afu7g01300,Afu7g01450,Afu7g01470,Afu7g01530,Afu7g01540,Afu7g01560,Afu7g01710,Afu7g01970,Afu7g02030,Afu7g02090,Afu7g02290,Afu7g02340,Afu7g02380,Afu7g02440,Afu7g02460,Afu7g02570,Afu7g03970,Afu7g04010,Afu7g04020,Afu7g04110,Afu7g04230,Afu7g04240,Afu7g04680,Afu7g04690,Afu7g04720,Afu7g04910,Afu7g04950,Afu7g05030,Afu7g05070,Afu7g05140,Afu7g05170,Afu7g05180,Afu7g05340,Afu7g05390,Afu7g05450,Afu7g05570,Afu7g05670,Afu7g06140,Afu7g06150,Afu7g06160,Afu7g06400,Afu7g06440,Afu7g06460,Afu7g06580,Afu7g06610,Afu7g06720,Afu7g06750,Afu7g06810,Afu7g06890,Afu7g06935,Afu7g08350,Afu7g08400,Afu7g08460,Afu7g08500,Afu7g08510,Afu7g08645,Afu8g00360,Afu8g00560,Afu8g00570,Afu8g00610,Afu8g00630,Afu8g00640,Afu8g00700,Afu8g00710,Afu8g00740,Afu8g00820,Afu8g00830,Afu8g00900,Afu8g00920,Afu8g00930,Afu8g01080,Afu8g01310,Afu8g01410,Afu8g01490,Afu8g01520,Afu8g01550,Afu8g01610,Afu8g01620,Afu8g01630,Afu8g01650,Afu8g01710,Afu8g01770,Afu8g01900,Afu8g01950,Afu8g01970,Afu8g02030,Afu8g02040,Afu8g02070,Afu8g02090,Afu8g02100,Afu8g02130,Afu8g02160,Afu8g02180,Afu8g02320,Afu8g02330,Afu8g02340,Afu8g02380,Afu8g02450,Afu8g02520,Afu8g02530,Afu8g02630,Afu8g02750,Afu8g02780,Afu8g03910,Afu8g04120,Afu8g04210,Afu8g04370,Afu8g04380,Afu8g04530,Afu8g04580,Afu8g04830,Afu8g04860,Afu8g05020,Afu8g05110,Afu8g05320,Afu8g05360,Afu8g05380,Afu8g05410,Afu8g05770,Afu8g05805,Afu8g05890,Afu8g05910,Afu8g05930,Afu8g05940,Afu8g05960,Afu8g05970,Afu8g06030,Afu8g06050,Afu8g06070,Afu8g06150,Afu8g06430,Afu8g06440,Afu8g06490,Afu8g06570,Afu8g06780,Afu8g06785,Afu8g06790,Afu8g06830,Afu8g06860,Afu8g06880,Afu8g06890,Afu8g06980,Afu8g07020,Afu8g07030,Afu8g07060,Afu8g07080,Afu8g07090,Afu8g07100,Afu8g07120,Afu8g07170,Afu8g07220,Afu8g07250,Afu8g07270,Afu8g07320,	11.3	1.01	2.32	0.0201635615371	0.097457214096	0.584743284576
