ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005575	cellular component	2450	367	M_BR32_EuGene_00000291,M_BR32_EuGene_00000621,M_BR32_EuGene_00000801,M_BR32_EuGene_00000951,M_BR32_EuGene_00001061,M_BR32_EuGene_00001221,M_BR32_EuGene_00001601,M_BR32_EuGene_00001931,M_BR32_EuGene_00002041,M_BR32_EuGene_00002061,M_BR32_EuGene_00002291,M_BR32_EuGene_00003351,M_BR32_EuGene_00003511,M_BR32_EuGene_00003721,M_BR32_EuGene_00003951,M_BR32_EuGene_00004181,M_BR32_EuGene_00004761,M_BR32_EuGene_00004861,M_BR32_EuGene_00004871,M_BR32_EuGene_00004971,M_BR32_EuGene_00005801,M_BR32_EuGene_00005961,M_BR32_EuGene_00006481,M_BR32_EuGene_00006911,M_BR32_EuGene_00007271,M_BR32_EuGene_00007431,M_BR32_EuGene_00007931,M_BR32_EuGene_00008551,M_BR32_EuGene_00009981,M_BR32_EuGene_00010371,M_BR32_EuGene_00010431,M_BR32_EuGene_00011241,M_BR32_EuGene_00011461,M_BR32_EuGene_00011871,M_BR32_EuGene_00012081,M_BR32_EuGene_00012201,M_BR32_EuGene_00012861,M_BR32_EuGene_00013241,M_BR32_EuGene_00013981,M_BR32_EuGene_00014201,M_BR32_EuGene_00014841,M_BR32_EuGene_00015221,M_BR32_EuGene_00015401,M_BR32_EuGene_00015411,M_BR32_EuGene_00015691,M_BR32_EuGene_00016671,M_BR32_EuGene_00017291,M_BR32_EuGene_00017371,M_BR32_EuGene_00017381,M_BR32_EuGene_00017951,M_BR32_EuGene_00019011,M_BR32_EuGene_00019601,M_BR32_EuGene_00020291,M_BR32_EuGene_00020451,M_BR32_EuGene_00020701,M_BR32_EuGene_00021891,M_BR32_EuGene_00022251,M_BR32_EuGene_00022341,M_BR32_EuGene_00022641,M_BR32_EuGene_00022821,M_BR32_EuGene_00023101,M_BR32_EuGene_00024271,M_BR32_EuGene_00024461,M_BR32_EuGene_00025131,M_BR32_EuGene_00025271,M_BR32_EuGene_00025281,M_BR32_EuGene_00025471,M_BR32_EuGene_00025551,M_BR32_EuGene_00025571,M_BR32_EuGene_00025871,M_BR32_EuGene_00026031,M_BR32_EuGene_00026161,M_BR32_EuGene_00026211,M_BR32_EuGene_00026591,M_BR32_EuGene_00027201,M_BR32_EuGene_00027281,M_BR32_EuGene_00028011,M_BR32_EuGene_00028071,M_BR32_EuGene_00028511,M_BR32_EuGene_00028641,M_BR32_EuGene_00028851,M_BR32_EuGene_00030011,M_BR32_EuGene_00030501,M_BR32_EuGene_00030641,M_BR32_EuGene_00031331,M_BR32_EuGene_00031881,M_BR32_EuGene_00032061,M_BR32_EuGene_00032091,M_BR32_EuGene_00032531,M_BR32_EuGene_00032961,M_BR32_EuGene_00033101,M_BR32_EuGene_00033141,M_BR32_EuGene_00033231,M_BR32_EuGene_00033461,M_BR32_EuGene_00034151,M_BR32_EuGene_00034641,M_BR32_EuGene_00034651,M_BR32_EuGene_00034911,M_BR32_EuGene_00034971,M_BR32_EuGene_00035101,M_BR32_EuGene_00035871,M_BR32_EuGene_00035981,M_BR32_EuGene_00036531,M_BR32_EuGene_00036741,M_BR32_EuGene_00036901,M_BR32_EuGene_00038721,M_BR32_EuGene_00038831,M_BR32_EuGene_00039481,M_BR32_EuGene_00040001,M_BR32_EuGene_00040011,M_BR32_EuGene_00040201,M_BR32_EuGene_00040621,M_BR32_EuGene_00041011,M_BR32_EuGene_00041661,M_BR32_EuGene_00042001,M_BR32_EuGene_00042191,M_BR32_EuGene_00042361,M_BR32_EuGene_00042491,M_BR32_EuGene_00043701,M_BR32_EuGene_00044091,M_BR32_EuGene_00044521,M_BR32_EuGene_00044591,M_BR32_EuGene_00044861,M_BR32_EuGene_00045021,M_BR32_EuGene_00045211,M_BR32_EuGene_00045361,M_BR32_EuGene_00045701,M_BR32_EuGene_00045831,M_BR32_EuGene_00046051,M_BR32_EuGene_00046481,M_BR32_EuGene_00046641,M_BR32_EuGene_00046891,M_BR32_EuGene_00047001,M_BR32_EuGene_00047131,M_BR32_EuGene_00047711,M_BR32_EuGene_00047771,M_BR32_EuGene_00047861,M_BR32_EuGene_00047951,M_BR32_EuGene_00048031,M_BR32_EuGene_00048281,M_BR32_EuGene_00048381,M_BR32_EuGene_00048791,M_BR32_EuGene_00048951,M_BR32_EuGene_00049011,M_BR32_EuGene_00049481,M_BR32_EuGene_00049491,M_BR32_EuGene_00050791,M_BR32_EuGene_00051121,M_BR32_EuGene_00051351,M_BR32_EuGene_00051561,M_BR32_EuGene_00052131,M_BR32_EuGene_00052161,M_BR32_EuGene_00052641,M_BR32_EuGene_00052651,M_BR32_EuGene_00053081,M_BR32_EuGene_00053821,M_BR32_EuGene_00054641,M_BR32_EuGene_00054801,M_BR32_EuGene_00055031,M_BR32_EuGene_00056111,M_BR32_EuGene_00056431,M_BR32_EuGene_00057411,M_BR32_EuGene_00057651,M_BR32_EuGene_00057911,M_BR32_EuGene_00058101,M_BR32_EuGene_00058471,M_BR32_EuGene_00058711,M_BR32_EuGene_00058821,M_BR32_EuGene_00059311,M_BR32_EuGene_00059531,M_BR32_EuGene_00059691,M_BR32_EuGene_00060241,M_BR32_EuGene_00060891,M_BR32_EuGene_00061711,M_BR32_EuGene_00061951,M_BR32_EuGene_00062081,M_BR32_EuGene_00062301,M_BR32_EuGene_00062341,M_BR32_EuGene_00062931,M_BR32_EuGene_00063201,M_BR32_EuGene_00063231,M_BR32_EuGene_00063721,M_BR32_EuGene_00063801,M_BR32_EuGene_00063941,M_BR32_EuGene_00065311,M_BR32_EuGene_00065911,M_BR32_EuGene_00066341,M_BR32_EuGene_00068091,M_BR32_EuGene_00068111,M_BR32_EuGene_00068151,M_BR32_EuGene_00068301,M_BR32_EuGene_00069181,M_BR32_EuGene_00069431,M_BR32_EuGene_00069611,M_BR32_EuGene_00069761,M_BR32_EuGene_00070641,M_BR32_EuGene_00071031,M_BR32_EuGene_00071271,M_BR32_EuGene_00071301,M_BR32_EuGene_00071581,M_BR32_EuGene_00071611,M_BR32_EuGene_00071641,M_BR32_EuGene_00071901,M_BR32_EuGene_00072381,M_BR32_EuGene_00072501,M_BR32_EuGene_00073121,M_BR32_EuGene_00073171,M_BR32_EuGene_00073971,M_BR32_EuGene_00074051,M_BR32_EuGene_00074881,M_BR32_EuGene_00075521,M_BR32_EuGene_00076021,M_BR32_EuGene_00076201,M_BR32_EuGene_00076261,M_BR32_EuGene_00076281,M_BR32_EuGene_00076931,M_BR32_EuGene_00077731,M_BR32_EuGene_00077771,M_BR32_EuGene_00078071,M_BR32_EuGene_00078371,M_BR32_EuGene_00078751,M_BR32_EuGene_00078791,M_BR32_EuGene_00078851,M_BR32_EuGene_00079641,M_BR32_EuGene_00079771,M_BR32_EuGene_00079981,M_BR32_EuGene_00080121,M_BR32_EuGene_00080341,M_BR32_EuGene_00080541,M_BR32_EuGene_00080601,M_BR32_EuGene_00080741,M_BR32_EuGene_00081141,M_BR32_EuGene_00081591,M_BR32_EuGene_00081941,M_BR32_EuGene_00081991,M_BR32_EuGene_00082311,M_BR32_EuGene_00083431,M_BR32_EuGene_00083581,M_BR32_EuGene_00083981,M_BR32_EuGene_00084491,M_BR32_EuGene_00087011,M_BR32_EuGene_00087661,M_BR32_EuGene_00088561,M_BR32_EuGene_00088631,M_BR32_EuGene_00089011,M_BR32_EuGene_00089631,M_BR32_EuGene_00089781,M_BR32_EuGene_00089841,M_BR32_EuGene_00090471,M_BR32_EuGene_00090771,M_BR32_EuGene_00091031,M_BR32_EuGene_00091261,M_BR32_EuGene_00091661,M_BR32_EuGene_00091671,M_BR32_EuGene_00091741,M_BR32_EuGene_00091881,M_BR32_EuGene_00092481,M_BR32_EuGene_00092771,M_BR32_EuGene_00093281,M_BR32_EuGene_00093301,M_BR32_EuGene_00095241,M_BR32_EuGene_00095361,M_BR32_EuGene_00095861,M_BR32_EuGene_00095931,M_BR32_EuGene_00096661,M_BR32_EuGene_00096671,M_BR32_EuGene_00096691,M_BR32_EuGene_00097761,M_BR32_EuGene_00098301,M_BR32_EuGene_00100201,M_BR32_EuGene_00100311,M_BR32_EuGene_00101371,M_BR32_EuGene_00101481,M_BR32_EuGene_00101811,M_BR32_EuGene_00101841,M_BR32_EuGene_00102101,M_BR32_EuGene_00102691,M_BR32_EuGene_00102781,M_BR32_EuGene_00102981,M_BR32_EuGene_00103891,M_BR32_EuGene_00104641,M_BR32_EuGene_00105501,M_BR32_EuGene_00106111,M_BR32_EuGene_00107151,M_BR32_EuGene_00107161,M_BR32_EuGene_00107751,M_BR32_EuGene_00107901,M_BR32_EuGene_00108521,M_BR32_EuGene_00108711,M_BR32_EuGene_00109221,M_BR32_EuGene_00109301,M_BR32_EuGene_00110281,M_BR32_EuGene_00110591,M_BR32_EuGene_00112181,M_BR32_EuGene_00112851,M_BR32_EuGene_00112931,M_BR32_EuGene_00113041,M_BR32_EuGene_00113581,M_BR32_EuGene_00115881,M_BR32_EuGene_00116051,M_BR32_EuGene_00116931,M_BR32_EuGene_00117521,M_BR32_EuGene_00117701,M_BR32_EuGene_00118921,M_BR32_EuGene_00119421,M_BR32_EuGene_00119431,M_BR32_EuGene_00119731,M_BR32_EuGene_00119841,M_BR32_EuGene_00120031,M_BR32_EuGene_00120521,M_BR32_EuGene_00120661,M_BR32_EuGene_00120861,M_BR32_EuGene_00121071,M_BR32_EuGene_00121471,M_BR32_EuGene_00121791,M_BR32_EuGene_00122011,M_BR32_EuGene_00123001,M_BR32_EuGene_00123281,M_BR32_EuGene_00123791,M_BR32_EuGene_00125301,M_BR32_EuGene_00125311,M_BR32_EuGene_00125491,M_BR32_EuGene_00126181,M_BR32_EuGene_00126201,M_BR32_EuGene_00126291,M_BR32_EuGene_00126481,M_BR32_EuGene_00128091,M_BR32_EuGene_00128701,M_BR32_EuGene_00129081,M_BR32_EuGene_00129271,M_BR32_EuGene_00129361,M_BR32_EuGene_00129411,M_BR32_EuGene_00129511,M_BR32_EuGene_00129871,M_BR32_EuGene_00130421,M_BR32_EuGene_00130431,M_BR32_EuGene_00130621,M_BR32_EuGene_00131051,M_BR32_EuGene_00131111,M_BR32_EuGene_00131401,M_BR32_EuGene_00131501,M_BR32_EuGene_00132611,M_BR32_EuGene_00133831,M_BR32_EuGene_00134041,M_BR32_EuGene_00134061,M_BR32_EuGene_00134251,M_BR32_EuGene_00135821,M_BR32_EuGene_00135851,M_BR32_EuGene_00135921,M_BR32_EuGene_00136241,M_BR32_EuGene_00138831,M_BR32_EuGene_00138841,M_BR32_EuGene_00140501,M_BR32_EuGene_00140701,M_BR32_EuGene_00140751,M_BR32_EuGene_00142231,M_BR32_EuGene_00143801,M_BR32_EuGene_00144281,M_BR32_EuGene_00144541,M_BR32_EuGene_00145501,M_BR32_EuGene_00145891,M_BR32_EuGene_00145911,M_BR32_EuGene_00145921,M_BR32_EuGene_00145931,M_BR32_EuGene_00145961,M_BR32_EuGene_00145981,M_BR32_EuGene_00146091,	15.0	1.61	2.78	4.33091266674e-33	6.92946026679e-32	6.92946026679e-32
GO:0005783	endoplasmic reticulum	90	30	M_BR32_EuGene_00001061,M_BR32_EuGene_00004181,M_BR32_EuGene_00004761,M_BR32_EuGene_00004861,M_BR32_EuGene_00004871,M_BR32_EuGene_00006911,M_BR32_EuGene_00007431,M_BR32_EuGene_00011871,M_BR32_EuGene_00015221,M_BR32_EuGene_00022641,M_BR32_EuGene_00025551,M_BR32_EuGene_00032091,M_BR32_EuGene_00032531,M_BR32_EuGene_00034641,M_BR32_EuGene_00044091,M_BR32_EuGene_00044591,M_BR32_EuGene_00047861,M_BR32_EuGene_00049481,M_BR32_EuGene_00049491,M_BR32_EuGene_00052131,M_BR32_EuGene_00058471,M_BR32_EuGene_00063231,M_BR32_EuGene_00065311,M_BR32_EuGene_00068111,M_BR32_EuGene_00071031,M_BR32_EuGene_00071301,M_BR32_EuGene_00078851,M_BR32_EuGene_00080121,M_BR32_EuGene_00095861,M_BR32_EuGene_00143801,	33.3	3.59	5.08	1.75116859586e-10	1.40093487669e-09	2.80186975337e-09
GO:0005886	plasma membrane	42	14	M_BR32_EuGene_00002061,M_BR32_EuGene_00042001,M_BR32_EuGene_00047711,M_BR32_EuGene_00050791,M_BR32_EuGene_00051351,M_BR32_EuGene_00053081,M_BR32_EuGene_00065311,M_BR32_EuGene_00068301,M_BR32_EuGene_00077771,M_BR32_EuGene_00088631,M_BR32_EuGene_00104641,M_BR32_EuGene_00116051,M_BR32_EuGene_00123281,M_BR32_EuGene_00135851,	33.3	3.59	4.97	1.38994101569e-05	7.41301875033e-05	0.00022239056251
GO:0005773	vacuole	19	6	M_BR32_EuGene_00007931,M_BR32_EuGene_00025471,M_BR32_EuGene_00028851,M_BR32_EuGene_00048281,M_BR32_EuGene_00053821,M_BR32_EuGene_00091661,	31.6	3.4	4.54	0.00593150531802	0.0237260212721	0.0949040850883
GO:0005764	lysosome	2	2	M_BR32_EuGene_00025471,M_BR32_EuGene_00048281,	100.0	10.76	inf	0.00861974226775	0.0275831752568	0.137915876284
